"region","date","N","Mean","SD","Min","Max"
"South Asia",2021,7,6465.71800589518,5359.12324619838,3853.68029634055,18765.2163511231
"Sub-Saharan Africa",1990,42,2963.42025176124,3745.99028493826,460.123696680511,17559.0061141964
"Sub-Saharan Africa",1991,42,2891.72351284993,3827.37826227658,473.612003764065,18134.816075693
"Sub-Saharan Africa",1992,42,2804.268403647,3830.0698090473,436.376415633059,17109.4015608026
"Sub-Saharan Africa",1993,42,2710.94295841919,3919.29364299152,469.397817421582,17665.0570419282
"Sub-Saharan Africa",1994,42,2669.55116230708,3876.82415136614,476.370758738881,17497.6498228656
"Sub-Saharan Africa",1995,42,2693.12593655436,3931.61446674359,465.833295745524,17903.7821563099
"Sub-Saharan Africa",1996,42,2757.52549493136,4102.32597464044,502.40254145103,18091.0472921874
"Sub-Saharan Africa",1997,42,2796.18888745968,4363.91054083347,544.214075929696,19972.2034481402
"Sub-Saharan Africa",1998,42,2793.38587410069,4401.089668801,584.068720726015,20068.662725584
"Sub-Saharan Africa",1999,42,2784.57072636156,4272.99315581712,636.791741056073,20046.7000433662
"Sub-Saharan Africa",2000,43,2800.87658937209,4293.39788610734,628.693279379386,20713.5965332529
"Sub-Saharan Africa",2001,44,2838.17387914888,4201.11610131933,687.193473982929,20225.4571550971
"Sub-Saharan Africa",2002,44,2929.29155311537,4180.27559048082,690.659607510025,19854.3590606553
"Sub-Saharan Africa",2003,44,2969.07840691709,4156.70926949071,708.028771122555,18898.1377219308
"Sub-Saharan Africa",2004,44,3075.49507472541,4157.9200757113,733.541896998267,18427.5725330103
"Sub-Saharan Africa",2005,44,3173.73375805762,4340.93915460135,754.66444325739,19994.2658086607
"Sub-Saharan Africa",2006,44,3278.57104411519,4530.35818630579,769.887144633659,21424.5246529027
"Sub-Saharan Africa",2007,44,3385.71504571297,4813.98230156325,792.190884944916,23207.3995099329
"Sub-Saharan Africa",2008,44,3463.00263924896,4734.86645821299,812.592169776878,22075.5453411267
"Sub-Saharan Africa",2009,44,3469.04026870388,4561.82953634625,801.803427362171,21443.8703316621
"Sub-Saharan Africa",2010,44,3580.228065777,4696.73581307949,804.354940804194,21792.8414734222
"Sub-Saharan Africa",2011,44,3662.09197072945,5036.05150647084,807.6649575843,24500.9480225041
"Sub-Saharan Africa",2012,44,3718.51662923386,5123.42235077724,814.32077076854,25016.4793950467
"Sub-Saharan Africa",2013,44,3803.77282880978,5216.03442594671,764.051500246645,24866.5973353606
"Sub-Saharan Africa",2014,44,3883.98088479966,5342.91519541187,765.259553983357,25477.7219246703
"Sub-Saharan Africa",2015,44,3895.77996707398,5394.88498350502,781.579287257152,25961.0272836982
"Sub-Saharan Africa",2016,44,3856.60361822006,5539.59043153219,764.336602194152,26923.7321021723
"Sub-Saharan Africa",2017,44,3857.98385113164,5623.35926343891,750.787616270977,27336.6083673938
"Sub-Saharan Africa",2018,44,3864.9291167819,5750.09927365316,740.448222531284,28081.380825231
"Sub-Saharan Africa",2019,44,3870.24886995555,5905.76242897011,729.658462620426,29190.5502595482
