"estimate","region","date","pop","gdp","lifeex","pov_intl"
"Min","North America",2002,318985272,42416.4087525762,76.9365853658537,0.002423057653
"Min","North America",2003,321751961,42793.0792526308,77.0365853658537,0.002371085437
"Min","North America",2004,324745953,43704.4139089537,77.4878048780488,0.002435584937
"Min","North America",2005,327760352,44680.7964889693,77.4878048780488,0.002449898556
"Min","North America",2006,330951086,45396.8396580252,77.6878048780488,0.00249147582
"Min","North America",2007,334120232,45889.5621291537,77.9878048780488,0.002482524211
"Min","North America",2008,337341084,45851.2019282813,78.0390243902439,0.002454622841
"Min","North America",2009,340400424,44004.3141019538,78.390243902439,0.002443097114
"Min","North America",2010,343332032,44862.4194958293,78.5414634146342,0.002488310042
"Min","North America",2011,345922809,45823.1642403883,78.6414634146341,0.002261453926
"Min","North America",2012,348591884,46126.5138859002,78.7414634146342,0.002465214097
"Min","North America",2013,351142901,46704.7622355677,78.7414634146342,0.004964854449
"Min","North America",2014,353823764,47564.609109622,78.8414634146341,0.002421580503
"Min","North America",2015,356441902,47522.1406673151,78.690243902439,0.002459044897
"Min","North America",2016,359181242,47457.5853457244,78.5390243902439,0.002487136706
"Min","North America",2017,361667364,48317.1745835151,78.5390243902439,0.00247010647
"Min","North America",2018,363903283,48962.4815108923,78.6390243902439,0.002499711087
"Min","North America",2019,365931183,49175.6770500696,78.7878048780488,0.002486375387
"Min","North America",2020,369518678,46181.7575545756,76.9804878048781,0.002486375387
"Min","South Asia",1990,1130617908,1554.6020430045,54.833,0.133660244829
"Min","South Asia",1991,1155735394,1611.35951270409,54.154,0.11650477391
"Min","South Asia",1992,1180333000,1631.23071546147,56.71,0.117737234262
"Min","South Asia",1993,1205176322,1649.00812815004,57.619,0.115473136065
"Min","South Asia",1994,1230701944,1741.30936074927,58.553,0.113978398209
"Min","South Asia",1995,1256458830,1760.44496326133,59.318,0.107945408609
"Min","South Asia",1996,1282300706,1815.31261605463,59.492,0.124015502487
"Min","South Asia",1997,1308219168,1868.78380001851,60.603,0.102726937016
"Min","South Asia",1998,1334356218,1888.28753439878,61.09,0.091663856994
"Min","South Asia",1999,1360612009,1935.69172289544,61.679,0.08393944345
"Min","South Asia",2000,1387402511,2020.85543799847,62.01,0.075365792521
"Min","South Asia",2001,1414626022,2084.19999914237,62.421,0.091404069753
"Min","South Asia",2002,1441069889,2055.72271598852,62.626,0.078498653275
"Min","South Asia",2003,1466712950,2107.64096538593,62.843,0.056948433114
"Min","South Asia",2004,1492149450,2179.09301500341,63.052,0.04335576365
"Min","South Asia",2005,1516852718,2230.78916047975,62.466,0.073418708875
"Min","South Asia",2006,1540449941,2285.51221350898,63.731,0.037097883194
"Min","South Asia",2007,1563551314,2346.25922292834,63.852,0.034626632626
"Min","South Asia",2008,1586281886,2473.94174345508,64.036,0.028697783632
"Min","South Asia",2009,1609026325,2572.17507968776,64.14,0.038393234211
"Min","South Asia",2010,1632356472,2682.69869762644,64.436,0.021699171835
"Min","South Asia",2011,1655648847,2763.82832305733,64.648,0.002240942522
"Min","South Asia",2012,1678240250,2886.09752232317,64.782,0.005265892212
"Min","South Asia",2013,1700142692,2982.28699974016,65.15,0.000705802523
"Min","South Asia",2014,1721314094,3152.29326141144,65.284,4.8174878e-05
"Min","South Asia",2015,1741791681,3260.03499803884,65.697,0.000129223939
"Min","South Asia",2016,1762436441,3244.67429976078,65.88,0
"Min","South Asia",2017,1783288101,3495.52880048305,66.297,0
"Min","South Asia",2018,1803847309,3719.30777543436,66.482,0
"Min","South Asia",2019,1823829015,3922.08133124638,66.756,0
"Min","South Asia",2020,1843559390,3761.80278751871,66.269,0
"Min","South Asia",2021,1861812142,3853.68029634055,66.098,0
"Min","Sub-Saharan Africa",1990,502264266,460.123696680511,36.688,0.017591750076
"Min","Sub-Saharan Africa",1991,516594722,473.612003764065,42.218,0.017591750076
"Min","Sub-Saharan Africa",1992,531092026,436.376415633059,42.209,0.013648771611
"Min","Sub-Saharan Africa",1993,545273346,469.397817421582,37.105,0.013648771611
"Min","Sub-Saharan Africa",1994,559408954,476.370758738881,14.098,0.013648771611
"Min","Sub-Saharan Africa",1995,574097153,465.833295745524,39.969,0.013648771611
"Min","Sub-Saharan Africa",1996,589432072,502.40254145103,40.698,0.013648771611
"Min","Sub-Saharan Africa",1997,604844471,544.214075929696,40.64,0.011222323324
"Min","Sub-Saharan Africa",1998,620489733,584.068720726015,41.681,0.011222323324
"Min","Sub-Saharan Africa",1999,636637131,636.791741056073,42.071,0.010959822223
"Min","Sub-Saharan Africa",2000,653298724,628.693279379386,44.518,0.007427763221
"Min","Sub-Saharan Africa",2001,670515607,687.193473982929,41.957,0.007020164079
"Min","Sub-Saharan Africa",2002,688294698,690.659607510025,44.486,0.007569692976
"Min","Sub-Saharan Africa",2003,706591714,708.028771122555,43.349,0.005828677632
"Min","Sub-Saharan Africa",2004,725522835,733.541896998267,42.538,0.004528942719
"Min","Sub-Saharan Africa",2005,745152262,754.66444325739,42.125,0.004282358764
"Min","Sub-Saharan Africa",2006,765509999,769.887144633659,42.914,0.00345829178
"Min","Sub-Saharan Africa",2007,786608367,792.190884944916,43.123,0.003341525961
"Min","Sub-Saharan Africa",2008,817197115,812.592169776878,43.566,0.003018712374
"Min","Sub-Saharan Africa",2009,840028087,801.803427362171,44.034,0.003572996675
"Min","Sub-Saharan Africa",2010,863528519,804.354940804194,45.596,0.003996662737
"Min","Sub-Saharan Africa",2011,887713159,807.6649575843,46.692,0.004061334738
"Min","Sub-Saharan Africa",2012,912442095,814.32077076854,47.835,0.004123899017
"Min","Sub-Saharan Africa",2013,937703909,764.051500246645,49.002,0.003737858923
"Min","Sub-Saharan Africa",2014,963578765,765.259553983357,50.033,0.003139294245
"Min","Sub-Saharan Africa",2015,990247914,781.579287257152,51.101,0.002630072311
"Min","Sub-Saharan Africa",2016,1017098928,764.336602194152,52.043,0.001999478
"Min","Sub-Saharan Africa",2017,1044173426,750.787616270977,52.305,0.001253137091
"Min","Sub-Saharan Africa",2018,1072045414,740.448222531284,52.554,0.001066178511
"Min","Sub-Saharan Africa",2019,1100515900,729.658462620426,52.91,0.000823232166
"SD","East Asia & Pacific",1990,1754166013,8496.53633718823,3.99430420727947,0.254123846556203
"SD","East Asia & Pacific",1991,1779284317,8690.75813054335,3.96121531833678,0.245711889721454
"SD","East Asia & Pacific",1992,1802946756,8666.69255281418,3.84783405811619,0.237142037044599
"SD","East Asia & Pacific",1993,1825777375,8576.39688546041,3.80306305094479,0.227401960591465
"SD","East Asia & Pacific",1994,1848480100,8619.32053242205,3.80857490483793,0.212341878355195
"SD","East Asia & Pacific",1995,1870755748,8796.34791297052,3.6976360408589,0.200260887822239
"SD","East Asia & Pacific",1996,1892721009,9011.02696463313,3.76012251053169,0.18683593789548
"SD","East Asia & Pacific",1997,1914534267,9045.03610218434,3.73845965047942,0.190526681839152
"SD","East Asia & Pacific",1998,1935514675,8823.33658869879,3.69749873608913,0.20556098342154
"SD","East Asia & Pacific",1999,1955084080,8835.69325873518,3.64846124246515,0.177355242336861
"SD","East Asia & Pacific",2000,1974380842,9054.57899734289,3.73276860739652,0.163625431709546
"SD","East Asia & Pacific",2001,1992025200,9025.56252977517,3.76869073833049,0.153491834180598
"SD","East Asia & Pacific",2002,2008837833,9035.93872514676,3.76479362754814,0.141528839996316
"SD","East Asia & Pacific",2003,2024982628,9087.50701808791,3.75089857876606,0.126534850745765
"SD","East Asia & Pacific",2004,2040362927,9234.06423354406,4.1161564207641,0.10942558266672
"SD","East Asia & Pacific",2005,2055565588,9306.15603768931,3.78691379085059,0.0909058278345131
"SD","East Asia & Pacific",2006,2070742069,9327.56777420231,3.83300477038385,0.0897053613241118
"SD","East Asia & Pacific",2007,2085738331,9347.97169196322,3.81368411755517,0.0766936717734226
"SD","East Asia & Pacific",2008,2100713254,9163.84042807986,4.32403962606535,0.0728784332133637
"SD","East Asia & Pacific",2009,2115342751,8587.67952044832,3.85005229818082,0.0632046346965065
"SD","East Asia & Pacific",2010,2129784509,8816.46154495699,3.82635583708808,0.0574702910065452
"SD","East Asia & Pacific",2011,2145011812,8731.26628855534,3.78285643177809,0.0485825286835447
"SD","East Asia & Pacific",2012,2162144561,8762.49399719692,3.84817222610602,0.0437603514844247
"SD","East Asia & Pacific",2013,2179061870,8822.42785102286,3.83700959356865,0.0408604972528831
"SD","East Asia & Pacific",2014,2195419421,8773.71019673457,3.84139384426866,0.0356868330849584
"SD","East Asia & Pacific",2015,2211047641,8805.51093637837,3.84981767046918,0.0341025253563018
"SD","East Asia & Pacific",2016,2226637138,8786.30745139438,3.88870582668745,0.0316894743573273
"SD","East Asia & Pacific",2017,2242494267,8837.09699104967,3.87675439603655,0.0292747351740513
"SD","East Asia & Pacific",2018,2256218228,8826.34666014039,3.85908743846707,0.0274886419233385
"SD","East Asia & Pacific",2019,2268160993,8728.53835896023,3.88465686374507,0.025836754991272
"SD","East Asia & Pacific",2020,2277861231,8430.03142783266,4.24489335611287,0.0292693182215548
"SD","Europe & Central Asia",1990,839692852,10745.7044025891,3.84812177834178,0.071280978925689
"SD","Europe & Central Asia",1991,843987268,11314.0006241194,4.0486202522944,0.0740223163339906
"SD","Europe & Central Asia",1992,847402678,11902.3608539292,4.87857112888333,0.0870870549480293
"SD","Europe & Central Asia",1993,850285670,12058.0355583261,5.4302395133465,0.0964922510588978
"SD","Europe & Central Asia",1994,852407912,12962.3046908758,5.4785142385871,0.114113234972163
"SD","Europe & Central Asia",1995,853991333,13357.4078146232,5.49339069537132,0.112792521242049
"SD","Europe & Central Asia",1996,855655379,13593.7703586725,5.30612500928119,0.122100371914586
"SD","Europe & Central Asia",1997,857127065,13954.2318046548,5.18555752576847,0.120161996173911
"SD","Europe & Central Asia",1998,858408005,14477.9803550299,5.07202244596516,0.113591522878549
"SD","Europe & Central Asia",1999,859581049,14852.3856945756,5.33464434523151,0.132345941932756
"SD","Europe & Central Asia",2000,862277331,15201.2312667055,5.48772718580232,0.144596001590881
"SD","Europe & Central Asia",2001,863395400,15348.5337629957,5.59214895491283,0.142980907352576
"SD","Europe & Central Asia",2002,864953609,15169.7352962906,5.63033747706447,0.1413908030318
"SD","Europe & Central Asia",2003,867173880,14894.3344203905,5.63605933182149,0.142322567815249
"SD","Europe & Central Asia",2004,869736445,14816.4690547334,5.71672197479549,0.13596272325884
"SD","Europe & Central Asia",2005,872373068,14715.6446910753,5.77319655383859,0.131760985370223
"SD","Europe & Central Asia",2006,875083967,14778.6321245487,5.61159175672899,0.126719376896453
"SD","Europe & Central Asia",2007,878222275,14796.9588754796,5.45800968857017,0.119754496222865
"SD","Europe & Central Asia",2008,881811825,14511.0626645336,5.38295373807472,0.112896893169457
"SD","Europe & Central Asia",2009,885299042,13879.4933837252,5.17709906860438,0.106340770011734
"SD","Europe & Central Asia",2010,888673255,14037.725486758,5.16336065367118,0.101862559113615
"SD","Europe & Central Asia",2011,890727299,14113.2147098506,5.11150065205316,0.0971678291061154
"SD","Europe & Central Asia",2012,894206408,13863.0761825924,4.93234781858103,0.0903557658324804
"SD","Europe & Central Asia",2013,898477792,13669.4829840674,4.86329885301648,0.0835203455082769
"SD","Europe & Central Asia",2014,903040813,13890.619911483,4.95919987939879,0.077574184422872
"SD","Europe & Central Asia",2015,907560479,14286.2137753711,4.65830279157424,0.0704896708631672
"SD","Europe & Central Asia",2016,911808229,14486.0196748383,4.65923095678609,0.0653536201544351
"SD","Europe & Central Asia",2017,915284792,14735.4230264117,4.42123114073073,0.0623100511365881
"SD","Europe & Central Asia",2018,918207514,14847.6473240997,4.41673568102344,0.0571430123362682
"SD","Europe & Central Asia",2019,920599754,14959.5767174808,4.3927557564627,0.0522329232666794
"SD","Europe & Central Asia",2020,922520078,14094.591213624,4.74181417174869,0.0525895408603826
"SD","Latin America & Caribbean",1990,393044509,3344.34313678744,3.55513678052141,0.117439658934982
"SD","Latin America & Caribbean",1991,400697265,3447.67510438338,3.52456427060794,0.11464339102945
"SD","Latin America & Caribbean",1992,408281864,3532.5575060393,3.46212295138566,0.11569181786868
"SD","Latin America & Caribbean",1993,415846710,3560.45818643798,3.36066093299319,0.109171386850979
"SD","Latin America & Caribbean",1994,423405156,3669.59049216517,3.29412449944849,0.103525056322146
"SD","Latin America & Caribbean",1995,430924030,3206.24556867949,3.19795322526089,0.090334461571662
"SD","Latin America & Caribbean",1996,438351501,3433.76076322535,3.10951231074813,0.087582552974864
"SD","Latin America & Caribbean",1997,445727440,3657.5370419539,3.10422814020725,0.0865772533400927
"SD","Latin America & Caribbean",1998,453044647,3858.74297628558,3.15957498519515,0.0876630235299483
